"#","Equipo","Pts","PJ","PG","PE","PP","GF","GC","DIF"
"1","Boca Juniors","58","27","18","4","5","50","22","28"
"2","Godoy Cruz","56","27","17","5","5","45","24","21"
"3","San Lorenzo","50","27","14","8","5","31","20","11"
"4","Huracan","48","27","13","9","5","35","24","11"
"5","Talleres (C)","46","27","13","7","7","33","20","13"
"6","Independiente","46","27","13","7","7","29","19","10"
"7","Racing Club","45","27","13","6","8","46","32","14"
"8","River Plate","45","27","13","6","8","39","26","13"
"9","Def y Justicia","44","27","13","5","9","41","34","7"
"10","Union","43","27","11","10","6","33","23","10"
"11","Colon","41","27","11","8","8","32","22","10"
"12","Argentinos","41","27","12","5","10","36","30","6"
"13","Belgrano","40","27","10","10","7","29","28","1"
"14","Velez","38","27","10","8","9","31","32","-1"
"15","Atl Tucuman","36","27","8","12","7","29","26","3"
"16","Estudiantes (LP)","36","27","10","6","11","25","26","-1"
"17","Banfield","35","27","9","8","10","27","24","3"
"18","San Martin (SJ)","33","27","9","6","12","30","36","-6"
"19","Patronato","33","27","8","9","10","26","32","-6"
"20","Rosario Central","32","27","8","8","11","30","41","-11"
"21","Newells*","29","27","8","6","13","23","28","-5"
"22","Lanus","29","27","6","11","10","20","37","-17"
"23","Gimnasia (LP)","27","27","7","6","14","28","43","-15"
"24","Tigre","24","27","4","12","11","26","33","-7"
"25","Temperley","23","27","5","8","14","22","46","-24"
"26","Chacarita","18","27","4","6","17","23","40","-17"
"27","Arsenal","17","27","3","8","16","19","36","-17"
"28","Olimpo","15","27","3","6","18","16","50","-34"
